section,code,screen,appbar,headline,primary_cta,bottom_nav,overlay,figma_node_id,figma_url
A,A01,A01 · 스플래시,,틈튼,,,,99:2,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=99-2
A,A02,A02 · 시작 (로그인 · 가입),,하루 한 장이면 충분해,이메일로 시작하기,,,99:21,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=99-21
A,A03,A03 · 이메일 회원가입,이메일로 시작하기,,인증번호 받기,,,99:44,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=99-44
A,A04,A04 · 이메일 인증번호,이메일 인증,,확인하고 가입 완료,,,99:90,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=99-90
A,A05,A05 · 로그인,로그인,다시 만나서 반가워요.,로그인,,,100:68,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=100-68
A,A06,A06 · 필수 동의,약관 동의,시작 전에 확인해 주세요.,동의하고 시작하기,,,100:107,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=100-107
A,A07,A07 · 필수 입력 · 기본 정보,필수 입력,시작하기 전에 몇 가지만 알려 주세요,운동 정보 입력하기,,,136:148,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=136-148
A,A08,A08 · 필수 입력 · 운동 정보,필수 입력,운동은 어떻게 하고 계세요?,완료하고 시작하기,,,136:235,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=136-235
A,A09,A09 · 선택 온보딩 안내,선택 입력,자는 시간이랑 일어나는 시간만 알려줘,생활 패턴 알려주기,,,100:161,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=100-161
A,A10,A10 · 선택 온보딩 · 생활 패턴,선택 입력,몇 시에 자고 일어나?,이 시간으로 맞추기,,,100:196,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=100-196
A,A11,A11 · 인증번호 오류 · 재발송,이메일 인증,인증번호를 다시 확인해 주세요,인증번호 다시 받기,,,281:4428,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=281-4428
A,A12,A12 · 비밀번호 재설정 요청,비밀번호 재설정,가입한 메일 주소를 알려 주세요,재설정 링크 받기,,,282:659,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=282-659
A,A13,A13 · 새 비밀번호 설정,새 비밀번호,새 비밀번호를 정해 주세요,비밀번호 바꾸기,,,282:4570,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=282-4570
A,A14,A14 · 약관 상세 보기,서비스 이용약관,,,,,282:4683,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=282-4683
A,A15,A15 · 온보딩 완료,,준비됐어,오늘의 카드 보러 가기,,,282:4788,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=282-4788
A,A16,A16 · 자동 측정 권한 요청,자동 측정 준비,자동 측정을 켜려면 권한 세 가지가 필요해요,권한 허용하기,,,474:4241,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=474-4241
B,B01,B01 · 홈 · 오늘 카드 미선택,틈튼,,오늘의 카드 고르기,Y,,96:2,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=96-2
B,B01b,B01b · 홈 · 카드 선택됨 · 미션 이어하기,틈튼,,미션 이어하기,Y,,137:615,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=137-615
B,B03,B03 · 카드 · 덱 (선택 전),오늘의 카드,마음 가는 카드로 한 장만 골라 줘.,이 카드로 확정,Y,,97:138,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=97-138
B,B04,B04 · 카드 · 한 장 선택됨,오늘의 카드,가운데 카드로 정할까?,이 카드로 확정,Y,,97:201,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=97-201
B,B05,B05 · 카드 · 확정 확인,오늘의 카드,가운데 카드로 정할까?,확정하기,Y,Y,98:235,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=98-235
B,B06,B06 · 카드 · 공개 (winner),오늘의 카드,,이 행동 시작하기,,,98:308,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=98-308
B,B07,B07 · 카드 · 오늘 완료,오늘의 카드,오늘 8분 걸었어요,,Y,,98:368,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=98-368
B,B08,B08 · 카드 · 덱 불러오는 중,오늘의 카드,,,Y,,118:656,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=118-656
B,B09,B09 · 카드 · 덱 오류,오늘의 카드,,다시 시도,Y,,118:703,https://www.figma.com/design/ByGT2uoinUBxAQOBqAK7sM/?node-id=118-703
