"미션ID","축","영역","행운의행동","유형","측정분류","측정데이터_핵심","모델연동","측정시작조건","완료판정","행운의위치_후보","행운의숫자_최소","행운의숫자_최대","행운의숫자_간격","단위","시간대","오늘의운세_해석","오늘의한줄_템플릿","수행안내_안전문구","안전태그","시니어안전","검수상태","운동종목","운동강도","강도근거","강도판정메모","추천노출가중치","추천노출풀","추천노출조건","운동집계반영안","검토_우선순위","검토_주요문제","검토_수정제안"
"WALK_SLOW_01","木","유산소","천천히 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","가까운 산책로,가까운 공원,지금 있는 곳","10","20","5","분","언제나","작은 걸음이 오늘의 흐름을 바꿔요.","{place}에서 {num}{unit} 천천히 걷기!","옆 사람과 대화할 수 있는 속도면 충분해요.","","Y","검수대기","유산소","저","지침서표","3km/h 천천히 걷기 2 MET (65쪽)","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
"WALK_PARK_02","木","유산소","공원 한 바퀴 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","가까운 공원,집 주변","10","20","5","분","오전","바깥 공기가 마음의 길을 열어줘요.","{place}에서 {num}{unit} 공원 한 바퀴 걷기!","발밑을 살피고 편한 신발을 신어요.","","Y","검수대기","유산소","저","RPE","편안한 속도의 공원 걷기, RPE 2~3","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
"WALK_AFTER_MEAL_03","木","유산소","식사 후 산책하기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","가까운 산책로,집 주변","10","15","5","분","점심,저녁","가볍게 움직일수록 몸의 기운이 편안해져요.","밥 먹고 {place}에서 {num}{unit} 걷기!","식사 직후 힘들면 조금 쉬었다가 시작해요.","","Y","검수대기","유산소","저","RPE","식후 가벼운 걷기, RPE 2~3","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
"MARCH_PLACE_04","木","유산소","제자리 걷기","SENSOR_STEPS_IN_PLACE","센서측정형","걸음수","Y","미션 시작 시 걸음 수 기준값을 저장하고 이후 증가분 누적","미션 시작 후 센서가 센 걸음 증가분이 목표 이상; 제자리 여부는 판별하지 않음","집,책상 앞,사무실","300","500","100","걸음","언제나","제자리의 움직임도 좋은 변화를 불러와요.","{place}에서 {num}{unit} 제자리 걷기!","미끄럽지 않은 곳에서 천천히 발을 옮겨 걸어요. 힘들면 잠시 멈춰 쉬어도 돼요.","","Y","검수대기","유산소","저","RPE","제자리 저속 스텝, RPE 2","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","센서는 제자리 여부를 구분하지 않고 미션 시작 후 모든 걸음을 집계함 / TYPE_STEP_COUNTER 미지원 기기의 대체 안내 필요 / 목표 300~500보는 파일럿 기획값","SENSOR_STEPS_IN_PLACE로 등록하고 300~500보·100보 간격 적용; 시작 기준값 이후 증가분으로 완료 판정; 센서 미지원 기기와 걸음 누락 시 대체 흐름을 기기 시험에서 확인"
"WALK_ERRAND_05","木","유산소","걸어서 볼일 보기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","가까운 마트,집 주변","10","20","5","분","오후,저녁","오늘의 행운은 가까운 길에서 만나요.","{place}까지 {num}{unit} 걸어서 다녀오기!","짐이 무거우면 돌아올 때는 교통수단을 이용해요.","","Y","검수대기","유산소","저","RPE","생활 걷기, 출퇴근 이동 2.5 MET 저강도 준용","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
"WALK_PHONE_06","木","유산소","통화하며 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 공원","5","10","5","분","오후","대화와 걸음이 함께하면 기분도 가벼워져요.","{place}에서 {num}{unit} 통화하며 걷기!","주변을 살피며 천천히 걸어요.","","Y","검수대기","유산소","저","RPE","통화하며 걷는 저속 이동","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
"WALK_MORNING_07","木","유산소","상쾌하게 산책하기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 공원","5","15","5","분","아침","아침의 빛이 오늘의 리듬을 깨워줘요.","{place}에서 {num}{unit} 상쾌하게 산책하기!","날씨가 불편하면 집 안에서 제자리 걷기로 바꿔요.","","Y","검수대기","유산소","저","지침서표","3km/h 천천히 걷기 2 MET 준용","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님 / 제자리 걷기 대체 시 실제 수행 종목과 센서 조건 변경","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행 / 대체 수행을 별도 종목·측정 출처로 저장"
"WALK_EVENING_08","木","유산소","느긋하게 산책하기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 산책로","10","20","5","분","저녁","하루의 끝을 걷는 리듬으로 정리해봐요.","{place}에서 {num}{unit} 느긋하게 산책하기!","어두운 길은 피하고 밝은 곳을 선택해요.","","Y","검수대기","유산소","저","지침서표","3km/h 천천히 걷기 2 MET 준용","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
"WALK_FRIEND_14","木","유산소","누군가와 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 공원","10","20","5","분","오전,오후","함께하는 걸음에서 좋은 인연의 기운이 자라요.","{place}에서 누군가와 {num}{unit} 걷기!","혼자여도 괜찮아요. 편한 속도를 지켜요.","","Y","검수대기","유산소","저","RPE","동반 걷기, 대화 가능한 속도","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
"WALK_SHOULDER_15","木","유산소","어깨 펴고 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,사무실,지금 있는 곳","5","15","5","분","언제나","자세를 펴면 오늘의 자신감도 따라와요.","{place}에서 어깨 펴고 {num}{unit} 걷기!","턱을 살짝 당기고 어깨 힘은 빼요.","","Y","검수대기","유산소","저","RPE","자세 교정 목적 저속 걷기","1.5","운동우선","일반 노출 후보","저강도 활동으로 별도 기록; 현재 중강도 환산 분에서는 제외; 실제 강도가 달랐는지는 별도 확인","P2","저강도 시간은 현 모델 피처에 포함되지 않음 / 걷기 감지 임계값은 의학적 강도 분류가 아님","저강도 보상 유지; 가능한 사용자에게 중강도 선택 단계 제공 / 느린 실제 보행 인정 QA와 강도 확인을 각각 수행"
