"미션ID","축","영역","행운의행동","유형","측정분류","측정데이터_핵심","모델연동","측정시작조건","완료판정","행운의위치_후보","행운의숫자_최소","행운의숫자_최대","행운의숫자_간격","단위","시간대","오늘의운세_해석","오늘의한줄_템플릿","수행안내_안전문구","안전태그","시니어안전","검수상태"
"WALK_SLOW_01","木","유산소","천천히 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","가까운 산책로,가까운 공원,지금 있는 곳","10","20","5","분","언제나","작은 걸음이 오늘의 흐름을 바꿔요.","{place}에서 {num}{unit} 천천히 걷기!","옆 사람과 대화할 수 있는 속도면 충분해요.","","Y","검수대기"
"WALK_PARK_02","木","유산소","공원 한 바퀴 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","가까운 공원,집 주변","10","20","5","분","오전","바깥 공기가 마음의 길을 열어줘요.","{place}에서 {num}{unit} 공원 한 바퀴 걷기!","발밑을 살피고 편한 신발을 신어요.","","Y","검수대기"
"WALK_AFTER_MEAL_03","木","유산소","식사 후 산책하기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","가까운 산책로,집 주변","10","15","5","분","점심,저녁","가볍게 움직일수록 몸의 기운이 편안해져요.","밥 먹고 {place}에서 {num}{unit} 걷기!","식사 직후 힘들면 조금 쉬었다가 시작해요.","","Y","검수대기"
"MARCH_PLACE_04","木","유산소","제자리 걷기","SELF_TIMER","사용자수행형","사용자경과시간_초","N","사용자 시작 후 경과시간 기록","사용자 경과시간 또는 완료 확인","집,책상 앞,사무실","5","10","5","분","언제나","제자리의 움직임도 좋은 변화를 불러와요.","{place}에서 {num}{unit} 제자리 걷기!","서 있기 힘들면 앉아서 발만 움직여도 돼요.","","Y","검수대기"
"WALK_ERRAND_05","木","유산소","걸어서 볼일 보기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","가까운 마트,집 주변","10","20","5","분","오후,저녁","오늘의 행운은 가까운 길에서 만나요.","{place}까지 {num}{unit} 걸어서 다녀오기!","짐이 무거우면 돌아올 때는 교통수단을 이용해요.","","Y","검수대기"
"WALK_PHONE_06","木","유산소","통화하며 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 공원","5","10","5","분","오후","대화와 걸음이 함께하면 기분도 가벼워져요.","{place}에서 {num}{unit} 통화하며 걷기!","주변을 살피며 천천히 걸어요.","","Y","검수대기"
"WALK_MORNING_07","木","유산소","아침 산책하기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 공원","5","15","5","분","아침","아침의 빛이 오늘의 리듬을 깨워줘요.","{place}에서 {num}{unit} 아침 산책하기!","날씨가 불편하면 집 안에서 제자리 걷기로 바꿔요.","","Y","검수대기"
"WALK_EVENING_08","木","유산소","저녁 산책하기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 산책로","10","20","5","분","저녁","하루의 끝을 걷는 리듬으로 정리해봐요.","{place}에서 {num}{unit} 저녁 산책하기!","어두운 길은 피하고 밝은 곳을 선택해요.","","Y","검수대기"
"WALK_FRIEND_14","木","유산소","누군가와 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,가까운 공원","10","20","5","분","오전,오후","함께하는 걸음에서 좋은 인연의 기운이 자라요.","{place}에서 누군가와 {num}{unit} 걷기!","혼자여도 괜찮아요. 편한 속도를 지켜요.","","Y","검수대기"
"WALK_SHOULDER_15","木","유산소","어깨 펴고 걷기","MODEL_ACTIVE_TIME","모델측정형","유효활동시간_초,걸음수,이동거리_m","Y","미션 시작 후 움직임 모델 활성","모델이 인식한 유효 활동시간이 목표 이상","집 주변,사무실,지금 있는 곳","5","15","5","분","언제나","자세를 펴면 오늘의 자신감도 따라와요.","{place}에서 어깨 펴고 {num}{unit} 걷기!","턱을 살짝 당기고 어깨 힘은 빼요.","","Y","검수대기"
